st,year,on_site_air,on_site_water,on_site_land,on_site_disp_or_other_rel,off_site_disp_or_other_rel,on_off_site_disp_or_other_rel,data_set,data_source,chem_name,tri_naics_code,naics_description,number_of_chemicals,facility_count,total_on_site_release,total_off_site_release,total_releases
IN,2022,,,,,,161759.56806,INFO,top_five_rti_industries,,334.0,NAICS 334 - Computers/Electronics Products,6.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,598008.521565,INFO,top_five_rti_industries,,335.0,NAICS 335 - Electrical Equipment,14.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,31809814.6312971,INFO,top_five_rti_industries,,336.0,NAICS 336 - Transportation Equipment,48.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,7865451.64989,INFO,top_five_rti_industries,,337.0,NAICS 337 - Furniture,19.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,1034696.44323,INFO,top_five_rti_industries,,339.0,NAICS 339 - Miscellaneous Manufacturing,23.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,1181020.34079,INFO,top_five_rti_industries,,4246.0,NAICS 4246 - Chemical Wholesalers (added 1998),35.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,317847.4736175,INFO,top_five_rti_industries,,4247.0,NAICS 4247 - Petroleum Bulk Terminals (added 1998),16.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,67885950.177,INFO,top_five_rti_industries,,562.0,NAICS 562 - Hazardous Waste (added 1998),64.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2022,,,,,,2092871.493,INFO,top_five_rti_industries,,999.0,NAICS 999 - Other,17.0,10068.0,209486391.4760214,154105492.0783743,363591883.5543957
IN,2023,64617310.226660125,33622204.8199683,72449353.48017862,170688868.52680704,135173293.69543245,305862162.2222395,INFO,onsite_offsite_disposal,,,,,,,,
