County,Chemical,Total Transfers,Total Releases
DECATUR,Diisocyanates,0.0,0.0
DECATUR,Ethylbenzene,0.0,140.0
DECATUR,Ethylene glycol,0.0,300.1
DECATUR,Lead,3.596,222.522
DECATUR,Lead  And Lead Compounds,0.0,152.0
DECATUR,Manganese,0.0,0.0
DECATUR,Manganese compounds,189.0,5688.0
DECATUR,Methanol,0.0,126.0
DECATUR,Nickel,0.0,0.0
DECATUR,Nitrate compounds (water dissociable; reportable only when in aqueous solution),195115.0,19528.7
DECATUR,Nitric acid,0.0,96.88900000000001
DECATUR,Polycyclic aromatic compounds,0.0,0.08
DECATUR,Toluene,0.0,1111.0
DECATUR,Xylene (mixed isomers),0.0,746.0
DECATUR,Zinc compounds,210.0,19507.92
DEKALB,"1,2,4-Trimethylbenzene",0.0,31930.09
DEKALB,Certain glycol ethers,0.0,74441.0
DEKALB,Chromium,0.71,536.447
DEKALB,Copper,0.0,2042.0
DEKALB,Diisocyanates,0.0,1570.59
DEKALB,Ethylbenzene,0.0,4650.0
DEKALB,Ethylene glycol,220.0,1261.53
DEKALB,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,69.037
DEKALB,Lead,0.04,4339.173
DEKALB,Lead  And Lead Compounds,0.0,0.011
DEKALB,Lead compounds,0.0,13241.19
DEKALB,Manganese,41.6,4158.325
DEKALB,Manganese compounds,0.0,269986.0
DEKALB,Naphthalene,0.0,6616.0
DEKALB,Nickel,13.43,766.772
DEKALB,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
DEKALB,Nitric acid,0.0,0.0
DEKALB,Styrene,0.0,105142.0
DEKALB,Toluene,0.0,68599.0
DEKALB,Xylene (mixed isomers),0.0,53556.0
DEKALB,Zinc compounds,442.02,233596.08000000002
DELAWARE,"1,2,4-Trimethylbenzene",0.0,4.0
DELAWARE,Certain glycol ethers,0.0,0.0
DELAWARE,Chromium,1.18,4494.91
DELAWARE,Copper,6.86,88.22
DELAWARE,Diisocyanates,0.0,0.0
DELAWARE,Ethylbenzene,0.0,29.0
DELAWARE,Ethylene glycol,0.0,0.0
DELAWARE,Lead,0.93,2.707
DELAWARE,Lead  And Lead Compounds,57.398,920115.065
DELAWARE,Manganese,90.82,271.62
DELAWARE,Naphthalene,0.0,4.0
DELAWARE,Nickel,0.44,7292.32
DELAWARE,Polycyclic aromatic compounds,0.0,0.0
DELAWARE,Styrene,0.0,23560.0
DELAWARE,Toluene,0.0,370.0
DELAWARE,Xylene (mixed isomers),0.0,152.0
DELAWARE,Zinc compounds,0.0,1546.05
DELAWARE,n-Hexane,0.0,450.0
DUBOIS,Chromium,0.0,0.0
DUBOIS,Copper,0.0,0.0
DUBOIS,Diisocyanates,0.0,0.0
DUBOIS,Ethylbenzene,0.0,17765.81
DUBOIS,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
DUBOIS,Nitric acid,0.0,0.0
