County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Bartholomew,Copper,15.161,42729.632,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Ethylene glycol,0.0,0.0,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Lead,24.529,44.308,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Lead  And Lead Compounds,0.0,17720.5,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Manganese,6.646,1533.663,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Manganese compounds,0.0,0.16,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Nickel,22.511000000000003,1355.886,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Nitrate compounds (water dissociable; reportable only when in aqueous solution),130856.87,13085.687,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Nitric acid,40.0,790.0,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Bartholomew,Zinc compounds,203.14,184530.03,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1,1087,7592.0689464
Blackford,Ammonia,74.34,260.74,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30,234,10189.987329
Blackford,Ethylbenzene,0.0,196.0,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30,234,10189.987329
Blackford,Toluene,0.0,10382.0,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30,234,10189.987329
Blackford,Xylene (mixed isomers),0.0,930.0,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30,234,10189.987329
Blackford,Zinc compounds,0.0,3645.428,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30,234,10189.987329
Boone,Chromium,0.0,0.0,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Copper,21.51,21.51,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Lead,0.0,0.219,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Manganese,0.0,13.0,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Methanol,0.0,75400.0,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Nickel,0.0,0.0,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
Boone,Nitric acid,0.0,0.0,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87,720,6470.3938404
