FIPS,State,County,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank
18091,Indiana,LaPorte,0.3080322079,69,0.2730971872,74,0.1152017844,70,0.0167108081,54,0.4068169449,86,-0.022908722,25
18093,Indiana,Lawrence,-0.030256904,45,0.1134346135,55,-0.027745045,38,-0.115083465,14,0.0107574647,52,0.0330367459,76
18095,Indiana,Madison,0.3201418926,71,0.754703471,90,0.2491645143,87,0.0097965421,48,0.322121262,81,-0.018609244,31
18097,Indiana,Marion,0.5527062343,81,0.6389513999,87,0.1440985171,76,-0.078435363,21,0.4051690209,84,0.2069677427,92
18099,Indiana,Marshall,-0.374891106,22,-0.115947608,37,-0.023359879,39,0.0555370703,64,-0.173713864,21,-0.011867019,40
18101,Indiana,Martin,0.1547418362,59,-0.075650084,41,0.0109950989,44,0.0648518111,66,-0.116061807,30,-0.025416439,21
18103,Indiana,Miami,-0.021800618,46,0.2453333365,69,0.1533571991,79,0.0942636367,75,0.2865881655,79,0.0303953927,75
18105,Indiana,Monroe,-0.633515751,10,-0.054645461,44,-0.273781495,7,-0.162118615,6,-0.177569617,20,0.0093710108,59
18107,Indiana,Montgomery,-0.291239128,27,-0.065904368,42,0.0941350094,62,-0.071678724,22,-0.080916871,36,-0.024299119,24
18109,Indiana,Morgan,-0.109952921,38,0.0537621264,50,-0.003148264,42,-0.094611012,18,-0.046928975,41,0.0912223323,91
18111,Indiana,Newton,0.0733335182,52,-0.063660026,43,0.1137355062,69,0.1535838208,86,0.2370240293,76,-0.010765362,43
18113,Indiana,Noble,-0.107448591,40,-0.289547018,18,-0.035240679,35,0.0599627496,65,0.0326233085,54,-0.03938986,10
18115,Indiana,Ohio,-0.713189974,5,-0.219056437,26,-0.032785991,36,0.1097133846,79,-0.126863285,27,-0.004138537,47
18117,Indiana,Orange,0.3896237308,74,0.2825417583,75,0.1316471601,72,0.0133023271,50,0.4245426974,87,-0.025283074,22
18119,Indiana,Owen,0.3660448933,72,0.2609135323,72,0.1017021844,65,0.0807581574,70,0.1994534619,73,0.0194712319,67
18121,Indiana,Parke,-0.536062535,16,0.1623720225,60,0.1796468098,81,0.1967211609,90,0.0830545252,61,0.0392554627,80
18123,Indiana,Perry,-0.55524318,13,0.2674572297,73,0.0569789259,53,-0.126964678,13,-0.045191777,43,-0.020868483,28
18125,Indiana,Pike,-0.181616751,35,0.0935095236,54,-0.040215427,33,0.1528815115,85,-0.09046069,34,-0.011884326,39
18127,Indiana,Porter,-0.50837904,19,-0.582904313,7,-0.340876333,5,-0.06086731,26,-0.084174984,35,-0.011715429,41
18129,Indiana,Posey,-0.538705826,15,-0.189024058,28,-0.160502785,14,-0.094472573,19,-0.307241716,10,0.0373406104,78
18131,Indiana,Pulaski,0.7609432069,86,0.127321927,57,0.0648569878,57,0.0916574091,73,0.0564605438,59,-0.060090912,6
18133,Indiana,Putnam,-0.372394359,23,-0.246872922,21,-0.068490849,26,-0.025855541,39,-0.047418368,39,-0.020591471,29
18135,Indiana,Randolph,0.4472754741,78,0.2864175867,77,0.0658540732,58,0.1186216559,80,0.11939513,68,-0.005658895,46
18137,Indiana,Ripley,-0.100045505,41,-0.264496655,20,0.033953709,48,0.020268805,55,-0.134958578,26,0.0815036864,90
18139,Indiana,Rush,-0.208073472,32,-0.09280832,39,0.1866204977,84,0.0471681604,61,-0.038069655,44,0.0193119621,66
18141,Indiana,St. Joseph,-0.040834367,44,0.0476759251,49,-0.11116359,22,-0.10650201,17,0.1467962623,69,-0.027942178,20
18143,Indiana,Scott,1.2244950791,91,0.7452112859,89,0.2578824022,89,0.137628986,83,0.5297853004,90,-0.029633592,19
18145,Indiana,Shelby,0.1224072322,56,-0.183836926,29,0.0071760701,43,0.0668607236,68,-0.063549137,38,0.0090982357,58
18147,Indiana,Spencer,-0.184666098,34,-0.458980462,10,-0.050712246,28,-0.038397582,33,-0.305249761,11,-0.049139698,8
18149,Indiana,Starke,0.6792552471,84,0.3845576006,81,0.221707413,85,0.1966382566,89,0.387182991,83,0.037743368,79
18151,Indiana,Steuben,-0.538949047,14,-0.200776252,27,-0.036777253,34,-0.068678089,23,-0.266194727,12,0.0066815231,55
18153,Indiana,Sullivan,0.1347409099,57,0.1348523417,59,0.2564359095,88,0.1262632017,81,0.2526570394,77,0.0017566565,51
18155,Indiana,Switzerland,0.793562518,87,0.9013649002,91,0.3399199803,92,0.1718134584,87,0.4853285704,89,0.034248287,77
